Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
63175,12006783,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,2.998305208,0.499717535,2401356.6,5356704.396,12000000,1,0,0.0,0.0,0,0,12000000,3000683.0,5988691.712,12000000,1,0,0,0,0,20,100,0.083286256,0.416431279,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,23071.0,0.0,23071,23071,12000000.0,0.0,12000000,12000000,BENIGN
37257,4036226,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,10.40576023,1.734293372,672704.3333,1642710.097,4025869,1,0,0.0,0.0,0,0,4029919,805983.8,1799970.822,4025869,1,0,0,0,0,20,120,0.247756196,1.486537176,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,432541,3,4,581,977,581,0,193.6666667,335.4405064,977,0,244.25,488.5,3601.97068,16.18343695,72090.16667,110846.755,216649,4,216837,108418.5,153143.0653,216707,130,215892,71964.0,122931.0803,213908,4,0,0,0,0,104,136,6.935758691,9.247678255,0,977,194.75,375.8171098,141238.5,0,0,0,1,0,0,0,0,1,222.5714286,193.6666667,244.25,104,0,0,0,0,0,0,3,581,4,977,29200,4961,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,8039771,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.731449565,0.621908261,2009942.75,4018551.527,8037770,3,8039771,2009942.75,4018551.527,8037770,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.621908261,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2001.0,0.0,2001,2001,8037770.0,0.0,8037770,8037770,DDoS
80,1879192,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,6190.426524,4.257148817,268456.0,709816.3139,1878168,3,810,405.0,479.4183976,744,66,1879146,469786.5,938921.0603,1878168,3,0,0,0,0,72,112,1.596430806,2.660718011,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,11914,3,4,26,11601,20,0,8.666666667,10.26320288,8675,0,2900.25,4088.041942,975910.6933,587.5440658,1985.666667,2838.504231,5802,68,6126,3063.0,3969.69747,5870,256,11846,3948.666667,3272.396268,6164,190,0,0,0,0,72,92,251.8045996,335.7394662,0,8675,1453.375,3091.095642,9554872.268,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
50910,507666,5,2,11601,26,7215,0,2320.2,3328.814384,20,6,13.0,9.899494937,22902.85345,13.78859329,84611.0,198715.9205,490039,48,507666,126916.5,242218.5986,490039,48,1013,1013.0,0.0,1013,1013,0,0,0,0,124,40,9.848995206,3.939598082,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,0,1661.0,2320.2,13.0,124,0,0,0,0,0,0,5,11601,2,26,8192,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,183,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,502732.2404,21857.9235,61.0,104.7902667,182,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,10928.96175,10928.96175,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
36255,5403782,1,5,1375,24,1375,1375,1375.0,0.0,6,0,4.8,2.683281573,258.8927533,1.110333466,1080756.4,2409103.251,5390289,4,0,0.0,0.0,0,0,5397621,1349405.25,2693923.397,5390289,4,1,0,0,0,20,112,0.185055578,0.925277889,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375.0,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,13493.0,0.0,13493,13493,5390289.0,0.0,5390289,5390289,BENIGN
80,1046722,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,11113.74367,8.598271556,130840.25,369680.6532,1045753,1,777,388.5,548.0077554,776,1,1046661,209332.2,467573.5636,1045753,3,0,0,0,0,72,132,2.866090519,5.732181038,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
