Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,31464,2,2,88,250,44,44,44.0,0.0,125,125,125.0,0.0,10742.435799644,127.1294177473,10488.0,18162.2847956968,31460,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,63.5647088736,63.5647088736,44,125,76.4,44.3655271579,1968.3,0,0,0,0,0,0,0,0,1,95.5,44.0,125.0,64,0,0,0,0,0,0,2,88,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,64,1,1,8,0,8,8,8.0,0.0,0,0,0.0,0.0,125000.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,32,32,15625.0,15625.0,0,8,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,1,8.0,8.0,0.0,32,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
443,9012460,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.33287249,4506230.0,2120932.849,6005956,3006504,9012460,4506230.0,2120932.849,6005956,3006504,0,0.0,0.0,0,0,0,0,0,0,92,0,0.33287249,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,92,0,0,0,0,0,0,3,0,0,0,8192,-1,0,28,3006504.0,0.0,3006504,3006504,6005956.0,0.0,6005956,6005956,BENIGN
53,21054,1,1,47,63,47,47,47.0,0.0,63,63,63.0,0.0,5224.660397,94.9938254,21054.0,0.0,21054,21054,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,47.4969127,47.4969127,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,78.5,47.0,63.0,20,0,0,0,0,0,0,1,47,1,63,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,61068813,18,13,2363,6631,711,0,131.2777778,257.7670644,3075,0,510.0769231,919.0987852,147.276483,0.50762408,2035627.1,4046603.45,10000000,19,61100000,3592283.118,4931376.365,10100000,198,61000000,5081843.667,5216307.37,10100000,1982,0,0,0,0,584,424,0.294749466,0.212874614,0,3075,281.0625,633.2484065,401003.5444,0,0,0,1,0,0,0,0,0,290.1290323,131.2777778,510.0769231,584,0,0,0,0,0,0,18,2363,13,6631,29200,135,5,32,185650.6667,227689.9682,650405,89532,9992333.667,44907.48792,10000000,9914816,BENIGN
53,30790,1,1,40,264,40,40,40.0,0.0,264,264,264.0,0.0,9873.3354985385,64.9561545956,30790.0,0.0,30790,30790,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.4780772978,32.4780772978,40,264,114.6666666667,129.3264602985,16725.3333333333,0,0,0,0,0,0,0,0,1,172.0,40.0,264.0,20,0,0,0,0,0,0,1,40,1,264,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,112855,5,5,419,5817,419,0,83.8,187.3824965,1460,0,1163.4,650.4366226,55256.74538,88.60927739,12539.44444,18971.84411,45025,1,112801,28200.25,19305.8466,45025,373,79497,19874.25,39441.89807,79037,53,0,0,0,0,120,112,44.3046387,44.3046387,0,1460,566.9090909,714.1487877,510008.4909,0,0,0,1,0,0,0,0,1,623.6,83.8,1163.4,120,0,0,0,0,0,0,5,419,5,5817,29200,123,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,12057059,19,22,12674,24131,4214,0,667.0526315789,1268.2035620727,4344,0,1096.8636363636,1076.5506333814,3052.5686239074,3.400497584,301426.475,1590863.52812048,9998867,3,2058189,114343.833333333,353870.97403852,1525047,16,12024909,572614.714285714,2187502.70598265,9998960,3,0,0,0,0,616,712,1.5758403438,1.8246572402,0,4344,876.3095238095,1168.2630527389,1364838.56039489,0,0,0,1,0,0,0,0,1,897.6829268293,667.0526315789,1096.8636363636,616,0,0,0,0,0,0,19,12674,22,24131,29200,111,7,32,2058189.0,0.0,2058189,2058189,9998867.0,0.0,9998867,9998867,BENIGN
50831,96,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,125000.0,20833.33333,96.0,0.0,96,96,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10416.66667,10416.66667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,61,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,913,1,2,6,59,6,6,6.0,0.0,53,6,29.5,33.2340187158,71193.8663745893,3285.8707557503,456.5,617.3042199759,893,20,0,0.0,0.0,0,0,893,893.0,0.0,893,893,0,0,0,0,20,40,1095.2902519168,2190.5805038335,6,53,17.75,23.5,552.25,1,0,0,0,1,0,0,0,2,23.6666666667,6.0,29.5,20,0,0,0,0,0,0,1,6,2,59,0,19,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
