Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,587309,3,4,26,11601,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,19797.07445,11.91876848,97884.83333,231170.5939,569568,59,17481,8740.5,11370.98415,16781,700,587250,195750.0,323852.2275,569568,161,0,0,0,0,72,92,5.108043636,6.810724848,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
63175,12006783,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,2.998305208,0.499717535,2401356.6,5356704.396,12000000,1,0,0.0,0.0,0,0,12000000,3000683.0,5988691.712,12000000,1,0,0,0,0,20,100,0.083286256,0.416431279,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,23071.0,0.0,23071,23071,12000000.0,0.0,12000000,12000000,BENIGN
80,9150753,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.278418727,0.546403121,2287688.25,4570448.696,9143360,4,9150753,2287688.25,4570448.696,9143360,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.546403121,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,7393.0,0.0,7393,7393,9143360.0,0.0,9143360,9143360,DDoS
53665,1,2,0,617,0,617,0,308.5,436.284884,0,0,0.0,0.0,617000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,64,0,2000000.0,0.0,0,617,411.3333333,356.2251161,126896.3333,0,1,0,0,1,0,0,0,0,617.0,308.5,0.0,64,0,0,0,0,0,0,2,617,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,2993923,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,8.016238227,1.336039704,997974.3333,1728117.035,2993432,138,2993923,997974.3333,1728117.035,2993432,138,0,0.0,0.0,0,0,0,0,0,0,80,0,1.336039704,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
138,24,13,0,3029,0,233,233,233.0,0.0,0,0,0.0,0.0,126000000.0,541666.6667,2.0,1.348399725,6,1,24,2.0,1.348399725,6,1,0,0.0,0.0,0,0,0,0,0,0,260,0,541666.6667,0.0,233,233,233.0,0.0,0.0,0,0,0,0,0,0,0,0,0,250.9230769,233.0,0.0,260,0,0,0,0,0,0,13,3029,0,0,-1,-1,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62309977,108,164,3459,230249,456,0,32.02777778,85.09581827,4290,0,1403.957317,849.4942368,3750.731604,4.365272033,229926.1144,3558607.927,58600000,0,62300000,582336.2336,5664839.224,58600000,1,62200000,381736.2822,4590903.953,58600000,1,0,0,0,0,2172,3292,1.733269778,2.632002255,0,4290,856.0732601,942.660496,888608.8108,0,0,0,1,0,0,0,0,1,859.2205882,32.02777778,1403.957317,2172,0,0,0,0,0,0,108,3459,164,230249,8192,410,107,20,3669785.0,0.0,3669785,3669785,58600000.0,0.0,58600000,58600000,BENIGN
65466,82262747,6,9,11613,62,7215,0,1935.5,3122.940009,20,0,6.888888889,5.30199124,141.9232937,0.182342561,5875910.5,18900000.0,70800000,3,82300000,16500000.0,36100000.0,80900000,12,80900000,10100000.0,24800000.0,70800000,3,0,0,0,0,132,192,0.072937025,0.109405537,0,7215,730.0625,2044.725914,4180904.062,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,15151.0,0.0,15151,15151,40500000.0,42900000.0,70800000,10100000,BENIGN
56605,55143,7,2,11607,26,5840,0,1658.142857,2430.302891,20,6,13.0,9.899494937,210960.5934,163.2120124,6892.875,18524.61053,52715,41,55143,9190.5,21337.74801,52715,41,213,213.0,0.0,213,213,0,0,0,0,164,40,126.9426763,36.26933609,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13.0,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5058859,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.930190978,0.988365163,1264714.75,2528758.211,5057852,1,5058859,1264714.75,2528758.211,5057852,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.988365163,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1007.0,0.0,1007,1007,5057852.0,0.0,5057852,5057852,DDoS
