Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
47917,236,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8474.576271,236.0,0.0,236,236,236,236.0,0.0,236,236,0,0.0,0.0,0,0,0,0,0,0,64,0,8474.576271,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,0,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,inf,inf,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,0.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
123,81112,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1183.5486734392,24.65726403,81112.0,0.0,81112,81112,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12.328632015,12.328632015,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5699915,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2.1052945526,0.3508824254,5699915.0,0.0,5699915,5699915,5699915,5699915.0,0.0,5699915,5699915,0,0.0,0.0,0,0,0,0,0,0,40,0,0.3508824254,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,191,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,62827.22513,10471.20419,191.0,0.0,191,191,191,191.0,0.0,191,191,0,0.0,0.0,0,0,0,0,0,0,40,0,10471.20419,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,252,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5568015,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.718388869,1856005.0,3213934.607,5567137,100,5568015,2784007.5,3935939.485,5567137,878,0,0.0,0.0,0,0,0,0,0,0,104,40,0.538791652,0.179597217,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack ï¿½ Brute Force
88,427,2,2,352,356,176,176,176.0,0.0,178,178,178.0,0.0,1658079.625,9367.681499,142.3333333,162.5248699,330,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,4683.840749,4683.840749,176,178,176.8,1.095445115,1.2,0,0,0,0,0,0,0,0,1,221.0,176.0,178.0,64,0,0,0,0,0,0,2,352,2,356,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1734,2,2,78,248,39,39,39.0,0.0,124,124,124.0,0.0,188004.6136,2306.805075,578.0,917.1210389,1637,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,40,1153.402537,1153.402537,39,124,73.0,46.55641739,2167.5,0,0,0,0,0,0,0,0,1,91.25,39.0,124.0,40,0,0,0,0,0,0,2,78,2,248,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56795,86023,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34.87439406,43011.5,60751.07911,85969,54,86023,86023.0,0.0,86023,86023,0,0.0,0.0,0,0,0,0,0,0,64,32,23.24959604,11.62479802,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,291,944,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,662669,7,5,376,3788,201,0,53.71428571,78.68653906,3502,0,757.6,1538.616521,6283.680088,18.10858815,60242.63636,66534.08978,229713,53,590911,98485.16667,72920.8433,229713,13564,577481,144370.25,128404.8437,315166,5390,0,0,0,0,152,112,10.56334309,7.545245062,0,3502,320.3076923,960.1534933,921894.7308,0,0,0,1,0,0,0,0,0,347.0,53.71428571,757.6,152,0,0,0,0,0,0,7,376,5,3788,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,339261,3,3,371,499,371,0,123.6666667,214.1969499,499,0,166.3333333,288.0977843,2564.397322,17.68549878,67852.2,69916.98558,166116,4,252348,126174.0,56486.51811,166116,86232,253090,126545.0,178955.9984,253086,4,0,0,0,0,80,68,8.842749388,8.842749388,0,499,124.2857143,215.4504694,46418.90476,0,0,0,1,0,0,0,0,1,145.0,123.6666667,166.3333333,80,0,0,0,0,0,0,3,371,3,499,29200,17424,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,10816727,5,4,580,164,517,0,116.0,225.1010884025,152,0,41.0,74.0540343263,68.782359026,0.8320446656,1352090.875,3779809.30595358,10706490,96,10816727,2704181.75,5376387.25987798,10768745,96,86765,28921.6666666667,31682.5100384003,62888,170,0,0,0,0,112,92,0.4622470365,0.3697976292,0,517,74.4,162.5438060613,26420.4888888889,0,0,0,1,0,0,0,0,0,82.6666666667,116.0,41.0,112,0,0,0,0,0,0,5,580,4,164,8192,946,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
24444,99,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,161616.1616,40404.0404,33.0,27.71281292,49,1,49,49.0,0.0,49,49,1,1.0,0.0,1,1,0,0,0,0,48,40,20202.0202,20202.0202,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,125155,1,1,44,176,44,44,44.0,0.0,176,176,176.0,0.0,1757.820303,15.98018457,125155.0,0.0,125155,125155,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,32,7.990092286,7.990092286,44,176,88.0,76.21023553,5808.0,0,0,0,0,0,0,0,0,1,132.0,44.0,176.0,40,0,0,0,0,0,0,1,44,1,176,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5837664,8,6,390,3716,209,0,48.75,77.1357800987,1460,0,619.3333333333,679.9090135207,703.3635371957,2.3982195618,449051.076923077,1567221.09813158,5664772,4,5837664,833952.0,2130376.33733753,5664772,4,91072,18214.4,22260.0619114143,50766,49,0,0,0,0,172,132,1.3704111782,1.0278083836,0,1460,273.7333333333,503.5259202672,253538.352380952,0,0,0,1,0,0,0,0,0,293.2857142857,48.75,619.3333333333,172,0,0,0,0,0,0,8,390,6,3716,8192,119,7,20,172888.0,0.0,172888,172888,5664772.0,0.0,5664772,5664772,BENIGN
52724,30,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,400000.0,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33333.33333,33333.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
8080,992846,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.12969987,6.043233291,198569.2,271211.3687,499552,484,992279,496139.5,5510.483146,500036,492243,992353,496176.5,5575.53697,500119,492234,0,0,0,0,92,60,3.021616645,3.021616645,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot
443,61119555,15,13,1288,4022,885,0,85.86666667,228.8826482,1615,2,309.3846154,589.7272729,86.8789048,0.458118519,2263687.222,4218794.206,10000000,18,61100000,4365682.5,5134211.272,10100000,543,61000000,5086289.0,5235773.119,10200000,51,0,0,0,0,312,264,0.245420635,0.212697884,0,1615,183.1034483,434.6354256,188907.9532,0,0,0,1,0,0,0,0,0,189.6428571,85.86666667,309.3846154,312,0,0,0,0,0,0,15,1288,13,4022,8192,31860,14,20,132975.6667,120830.1115,379619,83510,10000000.0,18920.93682,10000000,9999594,BENIGN
80,5337354,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.74943502,1779118.0,3080919.156,5336657,133,5337354,2668677.0,3773093.5,5336657,697,0,0.0,0.0,0,0,0,0,0,0,104,40,0.562076265,0.187358755,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack ï¿½ XSS
53,38406,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,11560.6936416185,104.1503931677,12802.0,22129.558581228,38355,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,52.0751965839,52.0751965839,47,175,98.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,64,0,0,0,0,0,0,2,94,2,350,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5308030,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.753575244,1769343.333,3063894.546,5307224,123,5308030,2654015.0,3752204.152,5307224,806,0,0.0,0.0,0,0,0,0,0,0,104,40,0.565181433,0.188393811,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack ï¿½ XSS
6566,4,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,1000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,48,0,500000.0,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51652,237,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,50632.91139,8438.818565,237.0,0.0,237,237,237,237.0,0.0,237,237,0,0.0,0.0,0,0,0,0,0,0,40,0,8438.818565,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5618183,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.71197396,1872727.667,3242861.011,5617261,111,5618183,2809091.5,3971351.392,5617261,922,0,0.0,0.0,0,0,0,0,0,0,104,40,0.53398047,0.17799349,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack ï¿½ XSS
59499,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,2353,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48430,2,2,68,484,34,34,34.0,0.0,242,242,242.0,0.0,11397.89387,82.59343382,16143.33333,27956.74345,48425,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,40,40,41.29671691,41.29671691,34,242,117.2,113.926292,12979.2,0,0,0,0,0,0,0,0,1,146.5,34.0,242.0,40,0,0,0,0,0,0,2,68,2,484,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,288897,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,13444.23791,41.5372953,26263.36364,33725.78434,85482,38,288897,48149.5,36938.01411,95720,9404,105131,26282.75,45971.5495,94888,54,0,0,0,0,152,112,24.23008892,17.30720637,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,63116536,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.11090596,10500000.0,11900000.0,32100000,996834,63100000,10500000.0,11900000.0,32100000,996834,0,0.0,0.0,0,0,0,0,0,0,280,0,0.11090596,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7004731.0,0.0,7004731,7004731,18700000.0,12200000.0,32100000,8016154,DoS Slowhttptest
54257,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,114,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
